text,label
"Pay ₹500 registration fee to get hired immediately",1
"Urgent job offer! Earn ₹80,000 per month as fresher with no experience required",1
"Work from home, easy money, passive income scheme",1
"Limited time offer: Data entry job, ₹60,000/month, apply now",1
"Contact recruiter@gmail.com for job offer, payment required",1
"Get hired in 24 hours, pay training fee of ₹2000",1
"Fresher job: ₹1,00,000 monthly salary, transfers funds daily",1
"WhatsApp job offer: Simple work, ₹50,000/month, deposit needed",1
"Part-time work: Earn ₹40,000/month from home, beginner friendly",1
"Spam: Data entry ₹25,000/month, pay now to join",1
"Telegram job: Google hiring, ₹80,000 salary, registration ₹999",1
"Urgent hiring! ₹90,000 monthly for beginners, apply via Gmail account",1
"Quick money job: ₹70,000/month, deposit your ID proof and ₹500",1
"Job offer from unknown sender on Yahoo mail",1
"Work at home scheme: Simple task ₹3,000 per task guaranteed",1
"Unverified job posting: ₹150,000/month for zero experience",1
"Facebook job scam: Pay ₹300 to confirm interview slot",1
"LinkedIn fake offer: Verify account with ₹1000 payment",1
"SMS job alert: Earn fast, pay commission first",1
"Immediate hiring without interview, just pay registration",1
"Google job offer via random email with payment demand",1
"Microsoft hiring for ₹200,000/month, send certificate fees",1
"Guaranteed income: ₹50,000 monthly from mobile app task",1
"Cryptocurrency mining job: Invest ₹5000 to earn ₹20,000/day",1
"Job guarantee scheme: Pay ₹1500 for permanent placement",1
"Refer and earn: ₹10,000 per referral, pay ₹100 to start",1
"Online data entry: ₹40,000/month confirmed, fees required",1
"Hired immediately for ₹80,000/month if you send application fee now",1
"Part time job: ₹60,000 monthly, flexible hours, registration closed",1
"Fortune 500 company: ₹100,000/month fresher role, pay subscription",1
"TCS Software Engineer position - Apply on careers.tcs.com",0
"Google is hiring Cloud Engineers with 3-5 years experience",0
"Amazon job opening: Senior Developer at Bangalore office",0
"Microsoft Internship Program 2024 - Apply here with resume",0
"Infosys recruitment drive for recent graduates in IT",0
"Wipro hiring engineers through official job portal",0
"Cognizant careers page: Software development roles available",0
"IBM internship program open for Computer Science students",0
"LinkedIn official job posting by HR Manager at HP",0
"Accenture is recruiting across multiple locations in India",0
"Company hiring: Software Engineer role, contact HR@company.com",0
"Formal job interview scheduled at office for tomorrow 10 AM",0
"HR department email regarding job offer letter",0
"Company official website careers page for job applications",0
"Government job recruitment via official UPSC portal",0
"Bank recruitment exam notification on official website",0
"College placement drive by reputed IT company",0
"Campus interview schedule for final year students",0
"Networking event: Meet hiring managers from tech companies",0
"Job fair organized by industry associations",0
"Official press release about company expansion and hiring",0
"Email from verified company domain about job opportunity",0
"LinkedIn connection from verified company recruiter",0
"Freelance project posting on Upwork by verified client",0
"Contract work opportunity from established agency",0
"Consulting project from reputable firm",0
"Teaching position at university sent via official email",0
"Remote work opportunity from established company",0
"Project-based work through verified platforms",0
