text,label,source,category,language,date
"Immediate hiring for Graphic Designer - ₹1,50,000/month, send 999 for training",1,synthetic,non-IT,English,2026-05-31
Tech Mahindra internship program for QA Engineer - Apply with portfolio,0,synthetic,established,English,2026-05-31
Wipro में कस्टमर सपोर्ट पद - 3-5 साल का अनुभव आवश्यक,0,synthetic,mixed,Hindi,2026-05-31
"Immediate hiring for Software Engineer - ₹1,00,000/month, send 1500 for training",1,synthetic,IT,English,2026-05-31
Full Stack Developer vacancy at Tech Mahindra - Interview scheduled at office,0,synthetic,established,English,2026-05-31
"Limited time offer: Back Office Executive position, ₹60,000/month, apply now via gmail.com",1,synthetic,non-IT,English,2026-05-31
"Easy money: Web Developer task-based work, earn ₹80,000/day, invest ₹500",1,synthetic,freelance,English,2026-05-31
TCS internship program for Product Manager - Apply with portfolio,0,synthetic,government,English,2026-05-31
Government job: Machine Learning Engineer recruitment via official UPSC portal,0,synthetic,IT,English,2026-05-31
"Infosys career opportunity: DevOps Engineer position, apply on company website",0,synthetic,established,English,2026-05-31
Cybersecurity Analyst position at TCS - 3-5 years experience required,0,synthetic,government,English,2026-05-31
Deloitte is hiring Full Stack Developer - Apply via careers.microsoft.com,0,synthetic,IT,English,2026-05-31
Networking event: Meet hiring managers from tech companies,0,existing,unknown,English,2024-01-01
DevOps Engineer position at Deloitte - 3-5 years experience required,0,synthetic,government,English,2026-05-31
"Data entry job Telecaller - ₹1,00,000/month, pay registration ₹5000",1,synthetic,IT,English,2026-05-31
"Work from home Social Media Manager - Earn ₹50,000/month, no experience needed",1,synthetic,freelance,English,2026-05-31
Job offer from unknown sender on Yahoo mail,1,existing,unknown,English,2024-01-01
"URGENT! Pay ₹2000 registration fee to get ₹1,50,000/month job as Content Writer",1,synthetic,non-IT,English,2026-05-31
Cybersecurity Analyst vacancy at Google - Interview scheduled at office,0,synthetic,established,English,2026-05-31
"Limited time offer: Virtual Assistant position, ₹50,000/month, apply now via protonmail.com",1,synthetic,IT,English,2026-05-31
"Data entry job Virtual Assistant - ₹80,000/month, pay registration ₹2000",1,synthetic,non-IT,English,2026-05-31
"Work from home Social Media Manager - Earn ₹40,000/month, no experience needed",1,synthetic,freelance,English,2026-05-31
Government job: Full Stack Developer recruitment via official UPSC portal,0,synthetic,established,English,2026-05-31
"URGENT! Pay ₹2000 registration fee to get ₹60,000/month job as Back Office Executive",1,synthetic,non-IT,English,2026-05-31
Job opening: UX Designer at Adobe - Send resume to hr@oracle.com,0,synthetic,established,English,2026-05-31
"Google/Microsoft hiring Back Office Executive - ₹50,000/month, pay verification fee ₹2500",1,synthetic,freelance,English,2026-05-31
"Refer and earn: ₹10,000 per referral, pay ₹100 to start",1,existing,unknown,English,2024-01-01
"WhatsApp job offer: Back Office Executive for ₹1,00,000/month, send ₹2500 to confirm",1,synthetic,IT,English,2026-05-31
"Fortune 500 company: Customer Support fresher role ₹80,000/month, pay subscription ₹999",1,synthetic,IT,English,2026-05-31
"Data entry job Telecaller - ₹1,50,000/month, pay registration ₹3000",1,synthetic,freelance,English,2026-05-31
"URGENT! Pay ₹5000 registration fee to get ₹1,00,000/month job as Content Writer",1,synthetic,freelance,English,2026-05-31
"Data entry job Social Media Manager - ₹50,000/month, pay registration ₹5000",1,synthetic,non-IT,English,2026-05-31
Wipro hiring engineers through official job portal,0,existing,unknown,English,2024-01-01
QA Engineer vacancy at Oracle - Interview scheduled at office,0,synthetic,IT,English,2026-05-31
