text,label
"Congratulations! You have been selected for a high-paying position at TechCorp India. Pay ₹5000 registration fee immediately to secure your spot. Limited time offer!",1
"URGENT: Work from home and earn ₹50,000/month. No experience needed. Send payment via UPI to 9876543210@paytm to start today. Guaranteed income!",1
"You have been hired by Global Solutions! Send ₹2000 training fee to get your offer letter. This is a genuine opportunity with top MNC. Join immediately!",1
"Immediate joining required! Pay ₹1000 for documentation and verification. Salary ₹80,000/month guaranteed. Apply now!",1
"Selected candidate! Deposit ₹3000 for equipment setup. Work from home, flexible hours, high salary. Limited seats!",1
"Congratulations on your selection! Pay ₹1500 for ID card and uniform. Join immediately with ₹60,000 monthly salary. Top company!",1
"You got the job! Send ₹2500 to process your offer letter. This is a legitimate company with great benefits. Don't miss out!",1
"Urgent hiring! Pay ₹500 for interview registration. High salary package, work from home available. No interview needed!",1
"Final selection! Pay ₹4000 for training material. Start earning ₹70,000/month from home. 100% genuine!",1
"Congratulations! Send ₹1800 via Google Pay to receive your appointment letter. Limited seats available. Act now!",1
"You are hired! Immediate payment of ₹2200 required for background verification. Salary ₹90,000/month. Top MNC!",1
"Selected for high-paying role! Pay ₹3500 for software and tools. Work remotely with flexible timing. ₹85,000 monthly!",1
"Congratulations on your offer! Pay ₹2800 for company ID and access cards. Join today with ₹55,000 salary package!",1
"Urgent: You have been selected! Send ₹1200 for profile verification. Start working immediately. High paying!",1
"Final round cleared! Pay ₹4500 for onboarding kit. Salary ₹75,000/month, work from home. Genuine opportunity!",1
"Congratulations! Pay ₹3200 for training certification. Guaranteed placement with ₹65,000 monthly salary. Top company!",1
"You got selected! Immediate payment of ₹1900 required for offer processing. Join today with great benefits!",1
"Selected candidate! Pay ₹2700 for equipment. Work from home with ₹85,000 monthly salary. Limited time!",1
"Congratulations! Send ₹2300 for documentation. This is a genuine opportunity with ₹70,000 salary. Apply now!",1
"Urgent hiring! Pay ₹1600 for registration. High salary, immediate joining, no interview needed. 100% real!",1
"You have been selected! Pay ₹3800 for background check. Salary ₹95,000/month. Top MNC with great benefits!",1
"Congratulations on your selection! Pay ₹2100 for company registration. Join immediately. Limited seats!",1
"Selected for premium position! Pay ₹4200 for training materials. Salary ₹80,000/month guaranteed. Genuine!",1
"You got the job! Send ₹1700 for ID verification. Start today with ₹60,000 monthly salary. Top company!",1
"Final selection! Pay ₹2900 for onboarding. Work from home with flexible hours and high pay. ₹77,000 monthly!",1
"Congratulations! Pay ₹2400 for offer letter processing. This is a legitimate opportunity. Don't miss!",1
"Urgent: You have been hired! Send ₹3600 for equipment setup. Salary ₹89,000/month. Work from home!",1
"Selected candidate! Pay ₹1300 for profile activation. Immediate joining with great benefits. Top MNC!",1
"Congratulations! Pay ₹3100 for training. Guaranteed placement with ₹72,000 monthly salary. Genuine!",1
"You got selected! Pay ₹2600 for documentation. Join top MNC with ₹78,000 salary. Apply now!",1
"Congratulations on your offer! Pay ₹2000 for company registration. Start working today. High paying!",1
"Selected for high-paying role! Pay ₹3300 for software. Work remotely with ₹82,000 salary. Flexible!",1
"You have been selected! Pay ₹3700 for background verification. Salary ₹92,000/month. Top company!",1
"Congratulations! Send ₹1400 for ID card. Join immediately with ₹58,000 monthly salary. Genuine!",1
"Final round cleared! Pay ₹3900 for onboarding. Salary ₹76,000/month, work from home. Great opportunity!",1
"Congratulations! Pay ₹2500 for training certification. Salary ₹68,000/month guaranteed. Top MNC!",1
"You got selected! Pay ₹1800 for offer processing. Join today with top company. Great benefits!",1
"Selected candidate! Pay ₹3400 for equipment. Work from home with ₹84,000 salary. Limited time!",1
"Congratulations! Send ₹2700 for documentation. This is genuine with ₹74,000 salary. Apply now!",1
"Urgent hiring! Pay ₹1500 for registration. Immediate joining, high salary package. 100% real!",1
"You have been selected! Pay ₹4100 for background check. Salary ₹96,000/month. Top MNC!",1
"Congratulations on your selection! Pay ₹2200 for company registration. Join immediately. Great opportunity!",1
"Selected for premium position! Pay ₹3000 for training. Salary ₹81,000/month. Genuine!",1
"You got the job! Send ₹1600 for ID verification. Start with ₹62,000 monthly salary. Top company!",1
"Final selection! Pay ₹2800 for onboarding. Work from home with ₹77,000 salary. Flexible hours!",1
"Congratulations! Pay ₹2300 for offer letter. This is a legitimate opportunity. Don't miss out!",1
"Urgent: You have been hired! Send ₹3500 for equipment. Salary ₹89,000/month. Work from home!",1
"Selected candidate! Pay ₹1200 for profile activation. Immediate joining. Great benefits!",1
"Congratulations! Pay ₹3200 for training. Placement with ₹73,000 monthly salary. Genuine!",1
"You got selected! Pay ₹2500 for documentation. Join MNC with ₹79,000 salary. Apply now!",1
"Thank you for applying to Google India. We have received your application for Software Engineer position. Our team will review your profile and get back to you within 2 weeks.",0
"Interview scheduled for Microsoft India Software Engineer role on 15th August at 10:00 AM. Please bring your resume and ID proof. Venue: Microsoft Campus, Hyderabad.",0
"Application received for Amazon Development Associate position. Your profile is under review. We will contact you if shortlisted for further rounds.",0
"Congratulations! You have been shortlisted for the Technical Interview at Infosys. Round 1: Online Assessment on 20th August. Details sent to your email.",0
"Your application for TCS Digital Hiring Program has been received. Please complete the online assessment by 25th August to proceed further.",0
"Wipro recruitment process: You have cleared the online test. Next round: Technical Interview on 18th August. Check your email for meeting link.",0
"Accenture hiring drive: Your profile matches our requirements for Software Developer. Please attend the interview on 22nd August at our Bangalore office.",0
"HCL Technologies: Application received for Graduate Trainee position. Shortlisted candidates will be notified via email for interview schedule.",0
